Year,State,Incident
2016,Northern Territory,82
2017,New South Wales,2975
2017,Victoria,1673
2017,Queensland,2477
2017,Western Australia,867
2017,South Australia,467
2017,Tasmania,181
2017,Australian Capital Territory,107
2017,Northern Territory,52
2017,New South Wales,1957
2017,Victoria,1310
2017,Queensland,1671
2017,Western Australia,586
2017,South Australia,332
2017,Tasmania,158
2017,Australian Capital Territory,77
2017,Northern Territory,29
2017,New South Wales,4932
2017,Victoria,2983
2017,Queensland,4148
2017,Western Australia,1453
2017,South Australia,799
2017,Tasmania,339
2017,Australian Capital Territory,184
2017,Northern Territory,81
2018,New South Wales,2984
2018,Victoria,1766
2018,Queensland,2341
2018,Western Australia,857
2018,South Australia,476
2018,Tasmania,205
2018,Australian Capital Territory,114
2018,Northern Territory,53
2018,New South Wales,2021
2018,Victoria,1311
2018,Queensland,1731
2018,Western Australia,627
2018,South Australia,309
2018,Tasmania,196
2018,Australian Capital Territory,81
2018,Northern Territory,30
2018,New South Wales,5005
2018,Victoria,3078
2018,Queensland,4072
2018,Western Australia,1484
2018,South Australia,785
2018,Tasmania,401
2018,Australian Capital Territory,195
2018,Northern Territory,83
2019,New South Wales,3012
2019,Victoria,1632
2019,Queensland,2601
2019,Western Australia,945
2019,South Australia,545
2019,Tasmania,224
2019,Australian Capital Territory,120
2019,Northern Territory,55
2019,New South Wales,2077
2019,Victoria,1202
2019,Queensland,1845
2019,Western Australia,676
2019,South Australia,357
2019,Tasmania,188
2019,Australian Capital Territory,86
2019,Northern Territory,33
2019,New South Wales,5089
2019,Victoria,2834
2019,Queensland,4446
2019,Western Australia,1621
2019,South Australia,902
2019,Tasmania,412
2019,Australian Capital Territory,205
2019,Northern Territory,88
2020,New South Wales,2894
2020,Victoria,1493
2020,Queensland,2408
2020,Western Australia,817
2020,South Australia,544
2020,Tasmania,221
2020,Australian Capital Territory,120
2020,Northern Territory,55
2020,New South Wales,2024
2020,Victoria,1093
2020,Queensland,1761
2020,Western Australia,597
2020,South Australia,347
2020,Tasmania,205
2020,Australian Capital Territory,85
2020,Northern Territory,33
2020,New South Wales,4918
2020,Victoria,2586
2020,Queensland,4169
2020,Western Australia,1417
2020,South Australia,891
2020,Tasmania,428
2020,Australian Capital Territory,205
2020,Northern Territory,88
2007,New South Wales,178
2007,Victoria,53
2007,Queensland,109
2007,Western Australia,48
2007,South Australia,14
2007,Tasmania,12
2007,Australian Capital Territory,5
2007,Northern Territory,0
2007,New South Wales,119
2007,Victoria,36
2007,Queensland,49
2007,Western Australia,25
2007,South Australia,7
2007,Tasmania,6
2007,Australian Capital Territory,2
2007,Northern Territory,0
2007,New South Wales,297
2007,Victoria,89
2007,Queensland,158
2007,Western Australia,73
2007,South Australia,21
2007,Tasmania,18
2007,Australian Capital Territory,7
2007,Northern Territory,0
2008,New South Wales,166
2008,Victoria,40
2008,Queensland,119
2008,Western Australia,52
2008,South Australia,11
2008,Tasmania,7
2008,Australian Capital Territory,4
2008,Northern Territory,1
2008,New South Wales,127
2008,Victoria,30
2008,Queensland,38
2008,Western Australia,29
2008,South Australia,6
2008,Tasmania,8
2008,Australian Capital Territory,2
2008,Northern Territory,0
2008,New South Wales,293
2008,Victoria,70
2008,Queensland,157
2008,Western Australia,81
2008,South Australia,17
2008,Tasmania,15
2008,Australian Capital Territory,6
2008,Northern Territory,1
2009,New South Wales,190
2009,Victoria,47
2009,Queensland,135
2009,Western Australia,46
2009,South Australia,15
2009,Tasmania,9
2009,Australian Capital Territory,3
2009,Northern Territory,1
2009,New South Wales,111
2009,Victoria,32
2009,Queensland,55
2009,Western Australia,31
2009,South Australia,10
2009,Tasmania,5
2009,Australian Capital Territory,2
2009,Northern Territory,0
2009,New South Wales,301
2009,Victoria,79
2009,Queensland,190
2009,Western Australia,77
2009,South Australia,25
2009,Tasmania,14
2009,Australian Capital Territory,5
2009,Northern Territory,1
2010,New South Wales,174
2010,Victoria,49
2010,Queensland,118
2010,Western Australia,51
2010,South Australia,22
2010,Tasmania,12
2010,Australian Capital Territory,4
2010,Northern Territory,1
2010,New South Wales,120
2010,Victoria,33
2010,Queensland,64
2010,Western Australia,29
2010,South Australia,7
2010,Tasmania,10
2010,Australian Capital Territory,2
2010,Northern Territory,0
2010,New South Wales,294
2010,Victoria,82
2010,Queensland,182
2010,Western Australia,80
2010,South Australia,29
2010,Tasmania,22
2010,Australian Capital Territory,6
2010,Northern Territory,1
2011,New South Wales,188
2011,Victoria,38
2011,Queensland,122
2011,Western Australia,58
2011,South Australia,30
2011,Tasmania,10
2011,Australian Capital Territory,4
2011,Northern Territory,1
2011,New South Wales,106
2011,Victoria,23
2011,Queensland,60
2011,Western Australia,39
2011,South Australia,6
2011,Tasmania,2
2011,Australian Capital Territory,2
2011,Northern Territory,0
2011,New South Wales,294
2011,Victoria,61
2011,Queensland,182
2011,Western Australia,97
2011,South Australia,36
2011,Tasmania,12
2011,Australian Capital Territory,6
2011,Northern Territory,2
2012,New South Wales,200
2012,Victoria,36
2012,Queensland,131
2012,Western Australia,71
2012,South Australia,24
2012,Tasmania,11
2012,Australian Capital Territory,5
2012,Northern Territory,1
2012,New South Wales,116
2012,Victoria,28
2012,Queensland,71
2012,Western Australia,47
2012,South Australia,13
2012,Tasmania,8
2012,Australian Capital Territory,2
2012,Northern Territory,1
2012,New South Wales,316
2012,Victoria,64
2012,Queensland,202
2012,Western Australia,118
2012,South Australia,37
2012,Tasmania,19
2012,Australian Capital Territory,7
2012,Northern Territory,2
2013,New South Wales,240
2013,Victoria,57
2013,Queensland,148
2013,Western Australia,87
2013,South Australia,23
2013,Tasmania,12
2013,Australian Capital Territory,5
2013,Northern Territory,1
2013,New South Wales,116
2013,Victoria,29
2013,Queensland,72
2013,Western Australia,44
2013,South Australia,9
2013,Tasmania,5
2013,Australian Capital Territory,2
2013,Northern Territory,0
2013,New South Wales,356
2013,Victoria,86
2013,Queensland,220
2013,Western Australia,131
2013,South Australia,32
2013,Tasmania,17
2013,Australian Capital Territory,7
2013,Northern Territory,2
2014,New South Wales,224
2014,Victoria,83
2014,Queensland,131
2014,Western Australia,77
2014,South Australia,27
2014,Tasmania,11
2014,Australian Capital Territory,5
2014,Northern Territory,2
2014,New South Wales,118
2014,Victoria,38
2014,Queensland,74
2014,Western Australia,43
2014,South Australia,16
2014,Tasmania,5
2014,Australian Capital Territory,1
2014,Northern Territory,0
2014,New South Wales,342
2014,Victoria,121
2014,Queensland,205
2014,Western Australia,120
2014,South Australia,43
2014,Tasmania,16
2014,Australian Capital Territory,7
2014,Northern Territory,2
2015,New South Wales,251
2015,Victoria,79
2015,Queensland,138
2015,Western Australia,81
2015,South Australia,30
2015,Tasmania,10
2015,Australian Capital Territory,5
2015,Northern Territory,2
2015,New South Wales,136
2015,Victoria,39
2015,Queensland,82
2015,Western Australia,44
2015,South Australia,15
2015,Tasmania,14
2015,Australian Capital Territory,1
2015,Northern Territory,0
2015,New South Wales,387
2015,Victoria,118
2015,Queensland,220
2015,Western Australia,125
2015,South Australia,45
2015,Tasmania,24
2015,Australian Capital Territory,7
2015,Northern Territory,2
2016,New South Wales,260
2016,Victoria,92
2016,Queensland,157
2016,Western Australia,71
2016,South Australia,38
2016,Tasmania,11
2016,Australian Capital Territory,6
2016,Northern Territory,2
2016,New South Wales,144
2016,Victoria,49
2016,Queensland,76
2016,Western Australia,55
2016,South Australia,13
2016,Tasmania,3
2016,Australian Capital Territory,2
2016,Northern Territory,0
2016,New South Wales,404
2016,Victoria,141
2016,Queensland,233
2016,Western Australia,126
2016,South Australia,51
2016,Tasmania,14
2016,Australian Capital Territory,7
2016,Northern Territory,3
2017,New South Wales,300
2017,Victoria,151
2017,Queensland,171
2017,Western Australia,73
2017,South Australia,29
2017,Tasmania,12
2017,Australian Capital Territory,6
2017,Northern Territory,3
2017,New South Wales,133
2017,Victoria,76
2017,Queensland,98
2017,Western Australia,49
2017,South Australia,20
2017,Tasmania,9
2017,Australian Capital Territory,1
2017,Northern Territory,0
2017,New South Wales,433
2017,Victoria,227
2017,Queensland,269
2017,Western Australia,122
2017,South Australia,49
2017,Tasmania,21
2017,Australian Capital Territory,7
2017,Northern Territory,3
2018,New South Wales,272
2018,Victoria,95
2018,Queensland,148
2018,Western Australia,63
2018,South Australia,31
2018,Tasmania,17
2018,Australian Capital Territory,5
2018,Northern Territory,3
2018,New South Wales,175
2018,Victoria,50
2018,Queensland,74
2018,Western Australia,40
2018,South Australia,16
2018,Tasmania,7
2018,Australian Capital Territory,2
2018,Northern Territory,1
2018,New South Wales,447
2018,Victoria,145
2018,Queensland,222
2018,Western Australia,103
2018,South Australia,47
2018,Tasmania,24
2018,Australian Capital Territory,7
2018,Northern Territory,3
2019,New South Wales,336
2019,Victoria,157
2019,Queensland,210
2019,Western Australia,86
2019,South Australia,32
2019,Tasmania,16
2019,Australian Capital Territory,5
2019,Northern Territory,2
2019,New South Wales,147
2019,Victoria,87
2019,Queensland,109
2019,Western Australia,40
2019,South Australia,13
2019,Tasmania,7
2019,Australian Capital Territory,2
2019,Northern Territory,1
2019,New South Wales,483
2019,Victoria,244
2019,Queensland,319
2019,Western Australia,126
2019,South Australia,45
2019,Tasmania,23
2019,Australian Capital Territory,8
2019,Northern Territory,3
2020,New South Wales,397
2020,Victoria,167
2020,Queensland,214
2020,Western Australia,86
2020,South Australia,50
2020,Tasmania,9
2020,Australian Capital Territory,5
2020,Northern Territory,2
2020,New South Wales,178
2020,Victoria,69
2020,Queensland,104
2020,Western Australia,30
2020,South Australia,18
2020,Tasmania,11
2020,Australian Capital Territory,2
2020,Northern Territory,1
2020,New South Wales,575
2020,Victoria,236
2020,Queensland,318
2020,Western Australia,116
2020,South Australia,68
2020,Tasmania,20
2020,Australian Capital Territory,7
2020,Northern Territory,2
2007,New South Wales,2304
2007,Victoria,1241
2007,Queensland,1700
2007,Western Australia,623
2007,South Australia,356
2007,Tasmania,139
2007,Australian Capital Territory,77
2007,Northern Territory,30
2007,New South Wales,1539
2007,Victoria,1022
2007,Queensland,1174
2007,Western Australia,437
2007,South Australia,286
2007,Tasmania,115
2007,Australian Capital Territory,61
2007,Northern Territory,20
2007,New South Wales,3843
2007,Victoria,2263
2007,Queensland,2874
2007,Western Australia,1060
2007,South Australia,642
2007,Tasmania,254
2007,Australian Capital Territory,138
2007,Northern Territory,50
2008,New South Wales,2321
2008,Victoria,1287
2008,Queensland,1895
2008,Western Australia,710
2008,South Australia,424
2008,Tasmania,170
2008,Australian Capital Territory,80
2008,Northern Territory,30
2008,New South Wales,1616
2008,Victoria,1012
2008,Queensland,1231
2008,Western Australia,454
2008,South Australia,331
2008,Tasmania,122
2008,Australian Capital Territory,64
2008,Northern Territory,20
2008,New South Wales,3937
2008,Victoria,2299
2008,Queensland,3126
2008,Western Australia,1164
2008,South Australia,755
2008,Tasmania,292
2008,Australian Capital Territory,145
2008,Northern Territory,50
2009,New South Wales,2380
2009,Victoria,1379
2009,Queensland,1922
2009,Western Australia,683
2009,South Australia,396
2009,Tasmania,168
2009,Australian Capital Territory,80
2009,Northern Territory,31
2009,New South Wales,1645
2009,Victoria,1080
2009,Queensland,1319
2009,Western Australia,430
2009,South Australia,299
2009,Tasmania,120
2009,Australian Capital Territory,59
2009,Northern Territory,20
2009,New South Wales,4025
2009,Victoria,2459
2009,Queensland,3241
2009,Western Australia,1113
2009,South Australia,695
2009,Tasmania,288
2009,Australian Capital Territory,140
2009,Northern Territory,51
2010,New South Wales,2510
2010,Victoria,1353
2010,Queensland,1960
2010,Western Australia,697
2010,South Australia,408
2010,Tasmania,170
2010,Australian Capital Territory,78
2010,Northern Territory,33
2010,New South Wales,1683
2010,Victoria,1004
2010,Queensland,1332
2010,Western Australia,417
2010,South Australia,318
2010,Tasmania,144
2010,Australian Capital Territory,52
2010,Northern Territory,21
2010,New South Wales,4193
2010,Victoria,2357
2010,Queensland,3292
2010,Western Australia,1114
2010,South Australia,726
2010,Tasmania,314
2010,Australian Capital Territory,130
2010,Northern Territory,54
2011,New South Wales,2587
2011,Victoria,1210
2011,Queensland,2046
2011,Western Australia,723
2011,South Australia,434
2011,Tasmania,141
2011,Australian Capital Territory,80
2011,Northern Territory,34
2011,New South Wales,1722
2011,Victoria,923
2011,Queensland,1439
2011,Western Australia,488
2011,South Australia,293
2011,Tasmania,131
2011,Australian Capital Territory,50
2011,Northern Territory,22
2011,New South Wales,4309
2011,Victoria,2133
2011,Queensland,3485
2011,Western Australia,1211
2011,South Australia,727
2011,Tasmania,272
2011,Australian Capital Territory,130
2011,Northern Territory,57
2012,New South Wales,2690
2012,Victoria,1328
2012,Queensland,2145
2012,Western Australia,765
2012,South Australia,417
2012,Tasmania,157
2012,Australian Capital Territory,84
2012,Northern Territory,38
2012,New South Wales,1815
2012,Victoria,1016
2012,Queensland,1501
2012,Western Australia,498
2012,South Australia,315
2012,Tasmania,117
2012,Australian Capital Territory,56
2012,Northern Territory,24
2012,New South Wales,4505
2012,Victoria,2344
2012,Queensland,3646
2012,Western Australia,1263
2012,South Australia,732
2012,Tasmania,274
2012,Australian Capital Territory,139
2012,Northern Territory,62
2013,New South Wales,2780
2013,Victoria,1387
2013,Queensland,2311
2013,Western Australia,867
2013,South Australia,460
2013,Tasmania,151
2013,Australian Capital Territory,86
2013,Northern Territory,40
2013,New South Wales,1883
2013,Victoria,1031
2013,Queensland,1602
2013,Western Australia,576
2013,South Australia,293
2013,Tasmania,141
2013,Australian Capital Territory,56
2013,Northern Territory,24
2013,New South Wales,4663
2013,Victoria,2418
2013,Queensland,3913
2013,Western Australia,1443
2013,South Australia,753
2013,Tasmania,292
2013,Australian Capital Territory,142
2013,Northern Territory,65
2014,New South Wales,2782
2014,Victoria,1485
2014,Queensland,2330
2014,Western Australia,847
2014,South Australia,505
2014,Tasmania,174
2014,Australian Capital Territory,86
2014,Northern Territory,45
2014,New South Wales,1915
2014,Victoria,1102
2014,Queensland,1581
2014,Western Australia,573
2014,South Australia,326
2014,Tasmania,174
2014,Australian Capital Territory,64
2014,Northern Territory,25
2014,New South Wales,4697
2014,Victoria,2587
2014,Queensland,3911
2014,Western Australia,1420
2014,South Australia,831
2014,Tasmania,348
2014,Australian Capital Territory,151
2014,Northern Territory,70
2015,New South Wales,2832
2015,Victoria,1612
2015,Queensland,2330
2015,Western Australia,976
2015,South Australia,501
2015,Tasmania,176
2015,Australian Capital Territory,89
2015,Northern Territory,50
2015,New South Wales,1916
2015,Victoria,1201
2015,Queensland,1643
2015,Western Australia,713
2015,South Australia,310
2015,Tasmania,150
2015,Australian Capital Territory,71
2015,Northern Territory,27
2015,New South Wales,4748
2015,Victoria,2813
2015,Queensland,3973
2015,Western Australia,1689
2015,South Australia,811
2015,Tasmania,326
2015,Australian Capital Territory,160
2015,Northern Territory,77
2016,New South Wales,3118
2016,Victoria,1661
2016,Queensland,2488
2016,Western Australia,983
2016,South Australia,501
2016,Tasmania,196
2016,Australian Capital Territory,98
2016,Northern Territory,56
2016,New South Wales,2071
2016,Victoria,1300
2016,Queensland,1709
2016,Western Australia,679
2016,South Australia,354
2016,Tasmania,151
2016,Australian Capital Territory,77
2016,Northern Territory,28
2016,New South Wales,5189
2016,Victoria,2961
2016,Queensland,4197
2016,Western Australia,1662
2016,South Australia,855
2016,Tasmania,347
2016,Australian Capital Territory,174
2016,Northern Territory,85
2017,New South Wales,3275
2017,Victoria,1824
2017,Queensland,2648
2017,Western Australia,940
2017,South Australia,496
2017,Tasmania,193
2017,Australian Capital Territory,113
2017,Northern Territory,55
2017,New South Wales,2090
2017,Victoria,1386
2017,Queensland,1769
2017,Western Australia,635
2017,South Australia,352
2017,Tasmania,167
2017,Australian Capital Territory,78
2017,Northern Territory,29
2017,New South Wales,5365
2017,Victoria,3210
2017,Queensland,4417
2017,Western Australia,1575
2017,South Australia,848
2017,Tasmania,360
2017,Australian Capital Territory,191
2017,Northern Territory,84
2018,New South Wales,3256
2018,Victoria,1861
2018,Queensland,2489
2018,Western Australia,920
2018,South Australia,507
2018,Tasmania,222
2018,Australian Capital Territory,119
2018,Northern Territory,56
2018,New South Wales,2196
2018,Victoria,1361
2018,Queensland,1805
2018,Western Australia,667
2018,South Australia,325
2018,Tasmania,203
2018,Australian Capital Territory,83
2018,Northern Territory,31
2018,New South Wales,5452
2018,Victoria,3223
2018,Queensland,4294
2018,Western Australia,1587
2018,South Australia,832
2018,Tasmania,425
2018,Australian Capital Territory,202
2018,Northern Territory,86
2019,New South Wales,3348
2019,Victoria,1789
2019,Queensland,2811
2019,Western Australia,1031
2019,South Australia,577
2019,Tasmania,240
2019,Australian Capital Territory,125
2019,Northern Territory,57
2019,New South Wales,2224
2019,Victoria,1289
2019,Queensland,1954
2019,Western Australia,716
2019,South Australia,370
2019,Tasmania,195
2019,Australian Capital Territory,88
2019,Northern Territory,34
2019,New South Wales,5572
2019,Victoria,3078
2019,Queensland,4765
2019,Western Australia,1747
2019,South Australia,947
2019,Tasmania,435
2019,Australian Capital Territory,213
2019,Northern Territory,91
2020,New South Wales,3291
2020,Victoria,1660
2020,Queensland,2622
2020,Western Australia,903
2020,South Australia,594
2020,Tasmania,230
2020,Australian Capital Territory,125
2020,Northern Territory,57
2020,New South Wales,2202
2020,Victoria,1162
2020,Queensland,1865
2020,Western Australia,627
2020,South Australia,365
2020,Tasmania,216
2020,Australian Capital Territory,87
2020,Northern Territory,34
2020,New South Wales,5493
2020,Victoria,2822
2020,Queensland,4487
2020,Western Australia,1533
2020,South Australia,959
2020,Tasmania,448
2020,Australian Capital Territory,212
2020,Northern Territory,90
